mo_age,mo_employed,ks_age,ks_employed
16,97606,15,86631
17,172418,16,71790
18,396704,17,100539
19,499196,18,112142
20,567185,19,104636
21,753203,20,213412
22,490511,21,258735
23,892156,22,485477
24,653690,23,303638
25,378941,24,242826
26,545933,25,369534
27,769336,26,474317
28,657130,27,455040
29,799480,28,450454
30,676268,29,389285
31,694476,30,306267
32,482140,31,369297
33,735635,32,286707
34,701643,33,326118
35,671306,34,305686
36,419243,35,258746
37,653890,36,343973
38,650247,37,323831
39,753888,38,235708
40,885917,39,246992
41,589080,40,270078
42,444321,41,262872
43,584857,42,287776
44,705348,43,281694
45,487318,44,223849
46,704299,45,210733
47,663050,46,235048
48,529273,47,276252
49,610802,48,350319
50,691579,49,246669
51,579586,50,378519
52,392858,51,247395
53,492602,52,233188
54,320412,53,203955
55,489120,54,286996
56,576023,55,258849
57,519447,56,306312
58,937253,57,327571
59,958637,58,311108
60,404659,59,113173
61,483012,60,255389
62,663540,61,244828
63,455375,62,212835
64,205480,63,156517
65,415939,64,242611
66,248155,65,165664
67,229392,66,124059
68,227919,67,123002
69,207931,68,169429
70,49273,69,54423
71,160382,70,51718
72,158992,71,35913
73,136490,72,49746
74,28200,73,61795
75,56855,74,66755
76,57536,75,33727
77,25091,76,32274
78,118162,77,57178
79,28155,78,18215
80,60821,79,15565
85,28257,80,54848
